prev_key,curr_key,time_delay
g,o,0.122802734375
o,n,0.17663240432739258
n,n,0.17368268966674805
n,a,0.18198680877685547
a,space,0.16153740882873535
b,e,0.18553638458251953
e,space,0.10720467567443848
l,i,0.06792616844177246
i,k,0.18584036827087402
k,e,0.0779566764831543
e,space,0.10177755355834961
y,o,0.14359283447265625
o,u,0.1058661937713623
u,space,0.17687058448791504
y,o,0.12739300727844238
o,u,0.10368561744689941
u,space,0.11301779747009277
k,n,0.12095022201538086
n,o,0.10205745697021484
o,w,0.19494271278381348
w,space,0.1912858486175537
i,',0.18221378326416016
',m,0.16988778114318848
m,space,0.1309964656829834
g,o,0.09100461006164551
o,n,0.1814415454864502
n,n,0.15764474868774414
n,a,0.13637280464172363
a,space,0.08002877235412598
b,e,0.18416404724121094
e,space,0.07935571670532227
l,i,0.1342456340789795
i,k,0.1932668685913086
k,e,0.2509901523590088
e,space,0.2540569305419922
y,o,0.13648176193237305
o,u,0.08911991119384766
u,space,0.1621723175048828
i,space,0.09185051918029785
w,a,0.14640259742736816
a,l,0.0615694522857666
l,k,0.06821799278259277
k,space,0.12384772300720215
a,space,0.16471457481384277
l,o,0.17139673233032227
o,n,0.0730123519897461
n,e,0.13499975204467773
e,l,0.06611466407775879
l,y,0.19106674194335938
y,space,0.12357544898986816
r,o,0.10532331466674805
o,a,0.0810093879699707
a,d,0.12493634223937988
d,space,0.11206603050231934
t,h,0.05533552169799805
h,e,0.11260724067687988
e,space,0.08167171478271484
o,n,0.09441280364990234
n,l,0.1451406478881836
l,y,0.19293665885925293
y,space,0.06032752990722656
o,n,0.10301041603088379
n,e,0.06673479080200195
e,space,0.12470865249633789
t,h,0.07999944686889648
h,a,0.07913637161254883
a,t,0.08699917793273926
t,space,0.20204877853393555
i,space,0.1505415439605713
h,a,0.1219782829284668
a,v,0.10499763488769531
v,e,0.15802502632141113
e,space,0.11902999877929688
e,v,0.22552728652954102
v,e,0.22311806678771973
e,r,0.10940694808959961
r,space,0.07153940200805664
k,n,0.1040339469909668
n,o,0.09696459770202637
o,w,0.08008766174316406
w,n,0.1200416088104248
n,space,0.1354844570159912
d,o,0.1141815185546875
o,n,0.08010125160217285
n,',0.15522432327270508
',t,0.165358304977417
t,space,0.16048574447631836
k,n,0.0996549129486084
n,o,0.07885479927062988
o,w,0.15204405784606934
w,space,0.10400104522705078
w,h,0.11711692810058594
h,e,0.04834556579589844
e,r,0.10181879997253418
r,e,0.12537765502929688
e,space,0.17251276969909668
i,t,0.0985727310180664
t,space,0.1074521541595459
g,o,0.09475994110107422
o,e,0.06899547576904297
e,s,0.12105202674865723
s,space,0.14299345016479492
b,u,0.1213068962097168
u,t,0.11377835273742676
t,space,0.12813997268676758
i,t,0.1550149917602539
t,',0.31084561347961426
',s,0.1838836669921875
h,o,0.06852865219116211
o,m,0.14754629135131836
m,e,0.09516644477844238
e,space,0.1603846549987793
t,o,0.08654212951660156
o,space,0.06339192390441895
m,e,0.08995485305786133
e,space,0.20204973220825195
a,n,0.09657835960388184
n,d,0.0910043716430664
d,space,0.12061905860900879
shift,I,0.10700488090515137
I,space,0.08694887161254883
w,a,0.12637567520141602
a,l,0.08532238006591797
l,k,0.06575179100036621
k,space,0.11600661277770996
a,l,0.08604621887207031
l,o,0.1781632900238037
o,n,0.09300470352172852
n,e,0.08883070945739746
e,space,0.19020724296569824
shift,I,0.09610605239868164
I,space,0.09440326690673828
w,a,0.15043044090270996
a,l,0.08401107788085938
l,k,0.05702996253967285
k,space,0.15997958183288574
t,h,0.08854269981384277
h,i,0.06393790245056152
i,s,0.10503649711608887
s,space,0.11065983772277832
e,m,0.11340689659118652
m,p,0.11133575439453125
p,t,0.12801361083984375
t,y,0.12964582443237305
y,space,0.10141873359680176
s,t,0.13303256034851074
t,r,0.17056655883789062
r,e,0.05099964141845703
e,e,0.1993415355682373
e,t,0.17626237869262695
t,space,0.18193864822387695
o,n,0.10663294792175293
n,space,0.10106897354125977
t,h,0.10163021087646484
h,e,0.054001569747924805
e,space,0.12962770462036133
b,o,0.07299327850341797
o,u,0.0880587100982666
u,l,0.1513051986694336
l,e,0.08390474319458008
e,v,0.23002099990844727
v,a,0.18286442756652832
a,r,0.1149132251739502
r,d,0.16705560684204102
d,space,0.10254669189453125
o,f,0.10899901390075684
f,space,0.20543980598449707
b,r,0.22172021865844727
r,o,0.06592702865600586
o,k,0.14898037910461426
k,e,0.09598660469055176
e,n,0.0980062484741211
n,space,0.1202540397644043
d,r,0.16419410705566406
r,e,0.08971357345581055
e,a,0.10089898109436035
a,m,0.08999919891357422
m,s,0.12480878829956055
s,space,0.14324522018432617
w,h,0.1209869384765625
h,e,0.03199601173400879
e,r,0.10546159744262695
r,e,0.11833667755126953
e,space,0.16010546684265137
t,h,0.10309481620788574
h,e,0.052986860275268555
e,space,0.12606596946716309
c,i,0.1221318244934082
i,t,0.12111139297485352
t,y,0.18198585510253906
y,space,0.046111106872558594
s,l,0.10209488868713379
l,e,0.11409592628479004
e,e,0.1800537109375
e,p,0.16999125480651855
p,s,0.1643526554107666
s,space,0.23990654945373535
a,n,0.13310623168945312
n,d,0.23384690284729004
i,',0.21044445037841797
',m,0.13300704956054688
m,space,0.09381651878356934
t,h,0.09277868270874023
h,e,0.1029198169708252
e,space,0.1156923770904541
f,o,0.16305088996887207
o,u,0.10594630241394043
u,r,0.062035322189331055
r,space,0.13103771209716797
s,c,0.17000317573547363
c,o,0.16004085540771484
o,r,0.0980072021484375
r,e,0.09495306015014648
e,space,0.13599729537963867
a,n,0.14700031280517578
n,d,0.04799985885620117
d,space,0.12900328636169434
s,e,0.10098719596862793
e,v,0.2230069637298584
v,e,0.13000059127807617
e,n,0.12395691871643066
n,space,0.09505653381347656
y,e,0.030997753143310547
e,a,0.13899850845336914
a,r,0.13004302978515625
r,s,0.14995622634887695
s,space,0.24504375457763672
a,g,0.09198522567749023
g,o,0.12296319007873535
o,space,0.09503769874572754
a,o,0.2389545440673828
o,u,0.13300132751464844
u,space,0.3602614402770996
f,o,0.29699182510375977
o,backspace,0.3389618396759033
backspace,a,0.10505080223083496
a,t,0.14094805717468262
t,h,0.11805558204650879
h,e,0.05094289779663086
e,r,0.09305310249328613
r,s,0.1659862995147705
s,space,0.21596336364746094
b,r,0.2450416088104248
r,o,0.10095882415771484
o,u,0.09400224685668945
u,g,0.07005643844604492
g,h,0.12894082069396973
h,t,0.09900355339050293
t,space,0.07099676132202148
f,o,0.1250007152557373
