prev_finger,curr_finger,time_delay
RR,LR,0.10301470756530762
LR,RT,0.13737988471984863
LR,LM,0.13300323486328125
LM,RT,0.14403986930847168
LP,LI,0.0989835262298584
LI,LM,0.057034969329833984
LM,RT,0.12796258926391602
LM,RI,0.17203927040100098
RI,LI,0.047959327697753906
LI,LP,0.307051420211792
LP,LI,0.18395185470581055
LI,LM,0.18105292320251465
LM,LM,0.18900060653686523
LM,RT,0.2989468574523926
LI,RI,0.13700056076049805
RI,LI,0.17003917694091797
LI,RT,0.12800002098083496
RM,RI,0.0870356559753418
RI,RT,0.11896038055419922
LP,RT,0.17799639701843262
RR,LP,0.07694482803344727
LP,LI,0.09599900245666504
LI,LI,0.20003747940063477
LI,LM,0.15096354484558105
LM,LI,0.0970001220703125
LI,RT,0.14503717422485352
LR,LM,0.09800505638122559
LM,RI,0.1329953670501709
RI,LR,0.08305692672729492
LR,LM,0.10099959373474121
LM,RT,0.1629948616027832
LR,LM,0.07999920845031738
LM,RT,0.1459975242614746
LM,LP,0.22906208038330078
LP,RI,0.15193700790405273
RI,RT,0.15304279327392578
RI,RR,0.08694982528686523
RR,LI,0.07799673080444336
LI,RT,0.1770000457763672
LM,LM,0.18628406524658203
LM,LM,0.18271827697753906
LM,RM,0.13399863243103027
RM,LM,0.10402059555053711
LM,LP,0.17945241928100586
LP,LI,0.07899689674377441
LI,LM,0.09703779220581055
LM,RT,0.149003267288208
LR,LM,0.06496310234069824
LM,RT,0.1660022735595703
LM,LP,0.24097728729248047
LP,RI,0.11798214912414551
RI,RR,0.22099947929382324
RR,LI,0.14600396156311035
LI,RT,0.14104270935058594
LM,RR,0.13199925422668457
RR,RI,0.07004714012145996
RI,LR,0.058005571365356445
LR,LM,0.12735986709594727
LM,LM,0.2190399169921875
LM,LI,0.18701410293579102
LI,LM,0.08894109725952148
LM,LP,0.10807037353515625
LP,LI,0.06998777389526367
LI,LM,0.03699827194213867
LM,RT,0.15294313430786133
LR,LM,0.07203936576843262
LM,RT,0.14195775985717773
LM,LP,0.18005776405334473
LP,RI,0.12294173240661621
RI,RT,0.10199952125549316
RI,RR,0.09100079536437988
RR,LI,0.10499691963195801
LI,RT,0.16206932067871094
RI,LP,0.12795376777648926
LP,RR,0.11722660064697266
RR,RR,0.15296363830566406
RR,RR,0.17405486106872559
RR,LR,0.1049797534942627
LR,RT,0.14101481437683105
LI,RI,0.050966501235961914
RI,RM,0.0690009593963623
RM,LR,0.09705233573913574
LR,RT,0.11549091339111328
LI,LI,0.1900007724761963
LI,RR,0.08299970626831055
RR,RI,0.0850365161895752
RI,RI,0.17896318435668945
RI,LM,0.2239997386932373
LM,RT,0.16904854774475098
LI,RI,0.10399746894836426
RI,LM,0.07600021362304688
LM,RT,0.12400150299072266
LI,LI,0.21860671043395996
LI,LP,0.10496902465820312
LP,LI,0.15599870681762695
LI,LM,0.19003868103027344
LM,RT,0.11401581764221191
RI,LM,0.0860593318939209
LM,RI,0.11899375915527344
RI,RT,0.08194637298583984
RR,RM,0.0709984302520752
RM,LI,0.08600378036499023
LI,RM,0.13899636268615723
RM,RI,0.06504273414611816
RI,LI,0.07096099853515625
LI,RT,0.13499689102172852
LP,RI,0.1029520034790039
RI,LM,0.10699701309204102
LM,RT,0.10300087928771973
LM,LM,0.16100358963012695
LM,LP,0.14504456520080566
LP,LM,0.10895514488220215
LM,RT,0.15799570083618164
LR,RI,0.1080465316772461
RI,RR,0.06195712089538574
RR,RT,0.09205341339111328
LR,LI,0.14499998092651367
LI,LI,0.1730365753173828
LI,RI,0.1144249439239502
RI,LI,0.08899664878845215
LI,LI,0.15020537376403809
LI,RR,0.1120004653930664
RR,LM,0.11707329750061035
LM,LM,0.1742246150970459
LM,RT,0.29373836517333984
RI,LM,0.10399913787841797
LM,LI,0.09400224685668945
LI,LM,0.11903691291809082
LM,RT,0.14200139045715332
RI,LP,0.09101152420043945
LP,LI,0.12902545928955078
LI,LM,0.1519625186920166
LM,RT,0.13400006294250488
LM,RR,0.09200143814086914
RR,RI,0.0690007209777832
RI,LR,0.08103179931640625
LR,LM,0.2109682559967041
LM,LM,0.20299839973449707
LM,LI,0.19100022315979004
LI,LM,0.1099996566772461
LM,LP,0.10900139808654785
LP,LI,0.1289994716644287
LI,LM,0.04399847984313965
LM,LM,0.1920020580291748
LM,RT,0.1419985294342041
RM,LI,0.14299798011779785
LI,RT,0.10799884796142578
LI,LP,0.14500045776367188
LP,LI,0.23799824714660645
LI,RT,0.12800145149230957
LP,LI,0.140000581741333
LI,RR,0.1400449275970459
RR,LI,0.10095095634460449
LI,LM,0.15399956703186035
LM,RT,0.0970451831817627
RR,RI,0.10300350189208984
RI,LI,0.14299893379211426
LI,RT,0.003998279571533203
RM,LI,0.12499570846557617
LI,RT,0.11100339889526367
RM,LR,0.12996840476989746
LR,RT,0.13405561447143555
LI,LP,0.15000081062316895
LP,LI,0.08600020408630371
LI,RI,0.1289985179901123
RI,LM,0.03400087356567383
LM,LI,0.08099722862243652
LI,RT,0.14500045776367188
LI,RR,0.13106632232666016
RR,LI,0.11193203926086426
LI,RT,0.08500003814697266
RI,LR,0.11199784278869629
LR,RT,0.1130514144897461
LI,RI,0.07993793487548828
RI,LM,0.09500432014465332
LM,RT,0.09903693199157715
RR,RM,0.07394647598266602
RM,LI,0.07206082344055176
LI,RM,0.1499645709991455
RM,RI,0.0850365161895752
RI,LI,0.04399371147155762
LI,RT,0.13894414901733398
LR,LM,0.086944580078125
LM,RT,0.12300252914428711
RI,LM,0.059977054595947266
LM,LI,0.13900113105773926
LI,LM,0.15399527549743652
LM,RT,0.259002685546875
LI,LM,0.1759963035583496
LM,RT,0.21600008010864258
LM,LM,0.15305352210998535
LM,LM,0.17200064659118652
LM,RM,0.11194539070129395
RM,LM,0.10800004005432129
LM,LP,0.1719965934753418
LP,LI,0.06205177307128906
LI,LM,0.09794783592224121
LM,LM,0.18100452423095703
LM,RT,0.1069951057434082
LI,RR,0.10901498794555664
RR,RT,0.05495119094848633
LI,RI,0.12605881690979004
RI,LM,0.031943321228027344
LM,RT,0.13599801063537598
LI,LI,0.17295312881469727
LI,LM,0.08799552917480469
LM,LP,0.11403799057006836
LP,LI,0.07601690292358398
LI,RT,0.10094857215881348
LI,LP,0.10999679565429688
LP,LR,0.12800025939941406
LR,RM,0.09400010108947754
RM,RT,0.07000374794006348
LI,LM,0.0769808292388916
LM,RI,0.06699299812316895
RI,LP,0.1719653606414795
LP,RM,0.11105585098266602
RM,RI,0.09100556373596191
RI,RM,0.11494207382202148
RM,RI,0.06299638748168945
RI,LI,0.11400294303894043
LI,RT,0.10505867004394531
LI,LM,0.18101263046264648
LM,LI,0.08998727798461914
LI,RR,0.1579437255859375
RR,LI,0.04900336265563965
LI,LM,0.08100032806396484
LM,RT,0.10400032997131348
RI,LR,0.06705403327941895
LR,RT,0.13000249862670898
LI,RI,0.0619959831237793
RI,LP,0.09905385971069336
LP,LI,0.06600213050842285
LI,RT,0.09594845771789551
LI,LI,0.185014009475708
LI,RR,0.04700136184692383
RR,RI,0.14801287651062012
RI,RT,0.09693765640258789
LI,RI,0.13300204277038574
RI,LM,0.055997610092163086
LM,LR,0.1310570240020752
LR,LM,0.08500146865844727
LM,RT,0.1619412899017334
RI,RR,0.08003473281860352
RR,RI,0.12096524238586426
RI,RR,0.08900022506713867
RR,LI,0.1400003433227539
LI,LM,0.0899960994720459
LM,LM,0.16804218292236328
LM,RT,0.13996148109436035
LM,LM,0.20699715614318848
LM,LP,0.13794445991516113
LP,LM,0.14999961853027344
LM,RT,0.24199986457824707
LR,LM,0.056999921798706055
LM,RT,0.1300032138824463
LI,LP,0.12000012397766113
LP,RM,0.12399578094482422
RM,LM,0.11205458641052246
