key,peak_1,peak_2,peak_3,peak_4,peak_5,peak_6,peak_7
q,254.0,187.0,175.0,137.0,125.0,113.0,101.0
w,254.0,226.0,194.0,187.0,178.0,170.0,103.0
e,1574.0,1567.0,1495.0,1466.0,1442.0,175.0,139.0
n,238.0,185.0,154.0,149.0,106.0,101.0,94.0
c,1615.0,235.0,194.0,187.0,180.0,173.0,146.0
x,137.0,127.0,125.0,118.0,113.0,110.0,103.0
y,242.0,199.0,163.0,161.0,144.0,101.0,86.0
z,926.0,240.0,137.0,115.0,101.0,96.0,89.0
k,192.0,144.0,142.0,113.0,110.0,103.0,101.0
w,262.0,245.0,233.0,221.0,192.0,110.0,98.0
3,187.0,185.0,182.0,108.0,106.0,103.0,101.0
9,185.0,178.0,170.0,163.0,142.0,134.0,127.0
8,1536.0,286.0,137.0,130.0,110.0,103.0,96.0
u,262.0,187.0,142.0,110.0,103.0,101.0,91.0
Backspace,703.0,286.0,281.0,240.0,233.0,230.0,204.0
l,526.0,346.0,341.0,293.0,288.0,286.0,216.0
n,154.0,142.0,139.0,125.0,113.0,110.0,98.0
o,187.0,122.0,115.0,108.0,101.0,94.0,86.0
p,274.0,266.0,262.0,180.0,175.0,161.0,149.0
Space,247.0,216.0,206.0,204.0,194.0,173.0,115.0
n,1997.0,1990.0,154.0,146.0,144.0,139.0,137.0
m,158.0,149.0,146.0,137.0,134.0,118.0,106.0
v,158.0,156.0,146.0,144.0,142.0,132.0,130.0
m,1510.0,1291.0,1282.0,1258.0,1231.0,307.0,298.0
o,300.0,298.0,283.0,271.0,257.0,254.0,252.0
m,216.0,170.0,163.0,151.0,144.0,137.0,122.0
p,269.0,250.0,154.0,149.0,146.0,144.0,142.0
l,1301.0,1298.0,1296.0,139.0,137.0,134.0,132.0
;,130.0,127.0,125.0,122.0,120.0,118.0,115.0
;,302.0,298.0,293.0,214.0,209.0,204.0,199.0
i,518.0,149.0,146.0,134.0,132.0,130.0,96.0
u,362.0,271.0,262.0,242.0,142.0,139.0,108.0
u,634.0,480.0,288.0,283.0,278.0,233.0,180.0
u,1682.0,1553.0,1529.0,269.0,149.0,139.0,115.0
v,374.0,334.0,302.0,286.0,283.0,276.0,235.0
t,281.0,257.0,254.0,247.0,242.0,223.0,120.0
t,773.0,290.0,286.0,149.0,110.0,106.0,101.0
x,408.0,300.0,290.0,288.0,264.0,221.0,185.0
x,785.0,782.0,703.0,691.0,689.0,590.0,576.0
x,194.0,192.0,190.0,173.0,144.0,89.0,84.0
x,1135.0,1130.0,1056.0,149.0,142.0,137.0,125.0
x,262.0,257.0,199.0,194.0,142.0,137.0,113.0
x,1258.0,149.0,146.0,142.0,134.0,115.0,108.0
x,228.0,214.0,206.0,144.0,120.0,106.0,82.0
x,149.0,142.0,134.0,127.0,122.0,115.0,108.0
x,1087.0,1054.0,170.0,108.0,101.0,98.0,89.0
c,293.0,264.0,230.0,221.0,206.0,199.0,110.0
c,1558.0,252.0,115.0,113.0,110.0,101.0,98.0
c,154.0,142.0,132.0,122.0,113.0,110.0,101.0
c,158.0,146.0,144.0,130.0,108.0,106.0,103.0
c,156.0,154.0,139.0,122.0,120.0,103.0,101.0
c,156.0,149.0,146.0,130.0,110.0,108.0,96.0
c,161.0,158.0,149.0,146.0,144.0,130.0,106.0
b,127.0,120.0,115.0,108.0,101.0,98.0,91.0
b,146.0,134.0,122.0,113.0,110.0,101.0,98.0
b,228.0,221.0,158.0,127.0,120.0,113.0,110.0
b,163.0,156.0,146.0,144.0,127.0,113.0,98.0
b,158.0,151.0,125.0,118.0,110.0,103.0,74.0
b,158.0,139.0,137.0,113.0,110.0,96.0,84.0
b,250.0,242.0,132.0,91.0,84.0,79.0,72.0
m,1354.0,242.0,228.0,206.0,199.0,178.0,115.0
m,1181.0,1154.0,146.0,134.0,125.0,113.0,103.0
m,142.0,139.0,130.0,110.0,108.0,98.0,86.0
m,156.0,154.0,144.0,134.0,106.0,103.0,94.0
m,139.0,137.0,113.0,110.0,101.0,89.0,86.0
m,132.0,130.0,120.0,110.0,108.0,101.0,98.0
m,127.0,125.0,122.0,98.0,96.0,84.0,82.0
k,168.0,146.0,132.0,125.0,118.0,113.0,106.0
k,226.0,214.0,197.0,168.0,149.0,130.0,110.0
k,182.0,139.0,120.0,118.0,84.0,82.0,77.0
k,161.0,122.0,120.0,106.0,103.0,91.0,89.0
k,168.0,144.0,127.0,115.0,113.0,101.0,84.0
k,149.0,139.0,132.0,130.0,120.0,86.0,77.0
k,149.0,122.0,120.0,110.0,108.0,91.0,82.0
s,1747.0,1699.0,206.0,202.0,197.0,185.0,134.0
s,1560.0,1550.0,1543.0,1469.0,158.0,149.0,113.0
s,156.0,149.0,142.0,130.0,122.0,115.0,108.0
s,269.0,163.0,156.0,149.0,142.0,134.0,115.0
s,192.0,182.0,168.0,146.0,125.0,115.0,108.0
j,233.0,226.0,218.0,206.0,158.0,134.0,110.0
j,362.0,137.0,130.0,122.0,113.0,106.0,86.0
j,269.0,262.0,197.0,194.0,158.0,134.0,118.0
j,1870.0,1517.0,271.0,110.0,101.0,91.0,84.0
j,1644.0,1632.0,1622.0,370.0,115.0,106.0,96.0
j,348.0,346.0,276.0,204.0,139.0,98.0,82.0
j,269.0,187.0,180.0,178.0,175.0,173.0,158.0
j,134.0,132.0,108.0,106.0,103.0,101.0,98.0
h,1438.0,1428.0,122.0,115.0,110.0,103.0,91.0
h,137.0,122.0,120.0,110.0,108.0,106.0,72.0
h,180.0,146.0,142.0,137.0,132.0,113.0,74.0
h,156.0,151.0,144.0,127.0,110.0,98.0,91.0
h,154.0,120.0,110.0,106.0,96.0,77.0,74.0
h,233.0,146.0,127.0,122.0,108.0,106.0,91.0
h,156.0,149.0,132.0,103.0,96.0,91.0,84.0
h,1135.0,1128.0,1116.0,1073.0,1066.0,948.0,936.0
w,242.0,223.0,216.0,209.0,190.0,182.0,130.0
w,223.0,199.0,197.0,125.0,115.0,108.0,101.0
w,158.0,149.0,139.0,132.0,125.0,122.0,98.0
w,180.0,163.0,154.0,132.0,122.0,108.0,91.0
w,218.0,130.0,127.0,120.0,110.0,101.0,74.0
w,161.0,151.0,142.0,125.0,108.0,98.0,82.0
